11/02/12			Hourly Breakdown of Renewable Resources										
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR			
	1		920		296		170		183		703		0
	2		920		296		170		179		724		0
	3		921		291		170		178		680		0
	4		921		276		171		177		739		0
	5		921		279		171		195		738		0
	6		921		269		173		205		757		0
	7		919		264		174		214		593		0
	8		919		261		175		237		485		31
	9		917		264		174		242		411		220
	10		916		269		173		241		213		554
	11		914		276		172		242		71		799
	12		914		284		172		236		19		879
	13		912		291		172		220		26		906
	14		912		293		172		233		31		890
	15		913		296		172		226		23		821
	16		915		298		178		246		23		683
	17		915		303		180		248		25		395
	18		915		301		181		259		114		58
	19		917		301		184		264		246		0
	20		917		300		186		264		312		0
	21		917		289		186		265		282		0
	22		917		277		186		235		203		0
	23		920		274		186		216		156		0
	24		921		259		186		207		83		0
													
													
			Hourly Breakdown of Total Production by Resource Type										
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO			
	1		2271		2257		9293		7465		752		
	2		2289		2258		8758		7195		604		
	3		2239		2258		8829		6822		615		
	4		2285		2255		8448		6919		724		
	5		2303		2253		8596		7093		734		
	6		2325		2254		9696		6982		952		
	7		2164		2254		11393		7504		1528		
	8		2109		2254		12968		7408		1793		
	9		2227		2255		13431		7367		1659		
	10		2367		2255		13596		7469		1638		
	11		2475		2255		13814		7487		1661		
	12		2504		2256		13772		7598		1719		
	13		2527		2255		13559		7561		1851		
	14		2531		2253		14068		7421		1647		
	15		2451		2255		13990		7543		1649		
	16		2342		2256		13715		7741		1703		
	17		2067		2255		13631		7921		1746		
	18		1829		2255		13785		7837		1904		
	19		1912		2254		14714		7934		2398		
	20		1979		2254		14173		8225		2529		
	21		1938		2256		14421		7844		1891		
	22		1819		2258		13329		8022		1737		
	23		1752		2259		12315		7688		1472		
	24		1657		2261		11008		7578		1125		
