11/10/12			Hourly Breakdown of Renewable Resources										
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR			
	1		928		272		190		202		1706		0
	2		928		284		190		197		1654		0
	3		928		291		189		198		1316		0
	4		928		314		188		193		1145		0
	5		928		318		189		193		982		0
	6		928		318		188		202		769		0
	7		927		316		188		224		834		31
	8		894		318		185		239		853		231
	9		870		314		184		243		998		567
	10		869		315		185		243		1315		784
	11		868		312		185		267		1457		817
	12		891		316		187		251		1556		767
	13		925		318		188		263		1490		763
	14		925		318		188		265		1455		730
	15		923		318		187		253		1410		464
	16		923		314		186		255		1408		253
	17		923		311		183		274		1378		40
	18		923		308		183		276		1318		0
	19		924		305		188		303		1710		0
	20		924		306		188		288		1556		0
	21		924		310		188		273		1459		0
	22		925		313		188		267		1756		0
	23		928		313		189		258		1962		0
	24		928		313		188		213		1789		0
													
													
			Hourly Breakdown of Total Production by Resource Type										
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO			
	1		3298		2248		9112		6138		1008		
	2		3253		2253		8989		5829		799		
	3		2921		2253		8889		5905		798		
	4		2769		2252		8905		5623		730		
	5		2609		2253		8785		5575		934		
	6		2405		2252		9016		5943		935		
	7		2520		2253		8912		6135		1504		
	8		2719		2254		9502		6181		1626		
	9		3175		2254		9762		6486		1624		
	10		3711		2251		9760		6767		1395		
	11		3907		2250		9411		6820		1724		
	12		3967		2247		9524		6592		1734		
	13		3947		2247		9674		6208		1728		
	14		3882		2248		9640		6001		1752		
	15		3555		2250		9908		5760		1889		
	16		3339		2248		10348		5659		1929		
	17		3109		2246		10383		6603		2226		
	18		3009		2249		11748		7108		3165		
	19		3430		2253		11980		7414		2650		
	20		3262		2254		11649		7696		2403		
	21		3154		2254		11763		7275		2115		
	22		3451		2252		11283		6660		1795		
	23		3649		2252		10557		6043		1432		
	24		3430		2250		9697		5662		1485		
