12/06/12			Hourly Breakdown of Renewable Resources												
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL				
	1		920		332		174		327		1807		0		0
	2		921		332		181		322		1739		0		0
	3		921		341		188		295		1471		0		0
	4		921		349		189		295		1347		0		0
	5		922		343		188		282		1438		0		0
	6		922		334		188		323		1529		0		0
	7		921		332		187		327		1589		3		0
	8		921		336		185		348		1611		80		0
	9		885		351		184		359		1489		249		0
	10		856		346		187		364		1122		434		34
	11		863		348		189		375		778		539		65
	12		897		346		188		381		1013		599		56
	13		908		345		186		371		1470		509		51
	14		915		317		187		384		1547		485		62
	15		916		340		188		386		1480		252		81
	16		916		356		190		389		1575		126		69
	17		918		360		191		382		1564		7		1
	18		917		355		193		384		1678		0		0
	19		918		352		194		380		1602		0		0
	20		918		338		195		383		1550		0		0
	21		919		336		192		383		1522		0		0
	22		920		325		183		384		1487		0		0
	23		923		319		183		384		1539		0		0
	24		923		334		184		332		1530		0		0
															
															
			Hourly Breakdown of Total Production by Resource Type												
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO					
	1		3555		2249		7798		6469		1693				
	2		3488		2250		7612		6076		1660				
	3		3209		2253		7895		5495		1776				
	4		3096		2252		8482		4780		1805				
	5		3168		2252		8247		4877		1938				
	6		3289		2252		8228		5946		1957				
	7		3354		2251		9183		7253		2050				
	8		3476		2250		10141		7470		2182				
	9		3513		2251		10441		7691		2295				
	10		3341		2253		10998		7949		2167				
	11		3156		2254		11518		7911		2138				
	12		3481		2251		11356		7640		2142				
	13		3839		2250		10741		7882		2185				
	14		3893		2251		10708		7823		2252				
	15		3641		2250		10977		7737		2151				
	16		3615		2251		10925		7605		2411				
	17		3419		2254		11242		8212		2683				
	18		3522		2253		13544		8245		2974				
	19		3439		2251		14031		8247		2672				
	20		3377		2250		13667		8354		2496				
	21		3344		2250		13065		8502		2579				
	22		3295		2253		11726		8481		2352				
	23		3344		2255		10547		7323		2026				
	24		3300		2255		8848		7018		1916				
