07/08/14			Hourly Breakdown of Renewable Resources (MW)												
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL				
	1		882		328		204		219		2866		0		0
	2		880		327		204		206		2628		0		0
	3		878		335		203		170		2584		0		0
	4		877		347		203		168		2514		0		0
	5		880		350		203		168		2222		0		0
	6		880		350		202		210		1775		0		0
	7		880		342		201		202		1442		277		0
	8		879		346		200		226		1174		1278		15
	9		880		336		199		250		929		2417		200
	10		880		324		201		249		597		3181		272
	11		875		328		199		254		472		3544		292
	12		876		335		201		266		432		3581		403
	13		875		359		202		276		576		3633		445
	14		875		360		203		289		819		3699		330
	15		871		359		203		307		1127		3657		331
	16		870		357		203		342		1497		3400		332
	17		870		356		203		318		2140		2959		324
	18		871		356		205		355		2687		2126		304
	19		872		355		205		360		2929		1137		208
	20		874		361		205		324		2992		229		43
	21		873		360		205		304		3059		0		0
	22		875		356		205		300		3218		0		0
	23		876		349		206		266		3059		0		0
	24		877		331		206		235		2932		0		0
															
															
			Hourly Breakdown of Total Production by Resource Type (MW)												
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO					
	1		4499		2262		10778		8641		1103				
	2		4245		2263		9897		8597		876				
	3		4170		2264		8918		8647		900				
	4		4109		2267		8562		8567		911				
	5		3824		2269		8679		8841		897				
	6		3417		2270		9960		9113		683				
	7		3343		2269		10361		9916		901				
	8		4117		2268		11481		9636		1389				
	9		5210		2267		12643		9221		1394				
	10		5703		2268		13386		9380		1606				
	11		5965		2266		14413		9505		1921				
	12		6094		2263		15946		9213		2176				
	13		6365		2263		16705		9001		2646				
	14		6574		2262		17384		9288		3146				
	15		6856		2260		18051		9357		3449				
	16		7001		2261		18456		9431		3690				
	17		7169		2263		18436		9591		3881				
	18		6904		2267		18416		9883		3727				
	19		6066		2266		17997		10077		3847				
	20		5026		2266		17402		10044		3843				
	21		4802		2266		16496		10426		3559				
	22		4955		2173		15418		10220		3259				
	23		4756		2140		13621		9931		2536				
	24		4581		2198		11279		10069		1763				
