12/23/14			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		1056		223		172		192		109		0		0		
	2		1057		220		172		192		176		0		0		
	3		1058		221		172		186		197		0		0		
	4		1059		222		172		190		226		0		0		
	5		1059		222		172		190		225		0		0		
	6		1058		224		172		230		253		0		0		
	7		1058		229		171		248		301		0		0		
	8		1057		244		167		281		345		474		0		
	9		1056		258		167		268		306		1779		7		
	10		1054		258		168		265		301		3055		325		
	11		1053		254		167		256		366		3724		467		
	12		1052		276		165		257		397		3876		452		
	13		1051		299		166		249		309		3880		446		
	14		1051		302		167		253		223		3757		458		
	15		1050		284		167		295		197		3143		441		
	16		1051		291		169		309		164		1837		310		
	17		1051		306		169		341		140		0		1		
	18		1054		302		170		379		94		0		0		
	19		1057		300		171		382		103		0		0		
	20		1057		308		171		383		108		0		0		
	21		1058		292		172		344		111		0		0		
	22		1059		282		171		319		138		0		0		
	23		1060		268		171		293		166		0		0		
	24		1058		262		171		248		168		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		1752		2145		10470		6298		882						
	2		1817		2144		10086		6460		305						
	3		1834		2144		9667		6393		200						
	4		1869		2147		9728		5920		360						
	5		1867		2148		9553		5912		691						
	6		1936		2147		10131		5676		1259						
	7		2007		2148		10153		7318		1390						
	8		2568		2149		9509		8360		1611						
	9		3841		2148		9532		7956		1376						
	10		5425		2147		8935		7873		1183						
	11		6288		2147		9054		7476		904						
	12		6476		2145		8464		7401		1132						
	13		6400		2144		8349		7458		1196						
	14		6211		2144		8617		7390		1216						
	15		5578		2145		8934		7722		1336						
	16		4131		2146		10722		7504		1447						
	17		2007		2147		12720		7894		1882						
	18		2000		2146		14452		8569		2178						
	19		2013		2146		14110		8876		2397						
	20		2027		2148		13855		8588		2316						
	21		1978		2149		13106		8624		2280						
	22		1969		2148		12129		8727		1938						
	23		1959		2149		11365		8045		1568						
	24		1907		2148		10062		7613		1127						
