01/21/15			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		1070		322		167		186		143		0		0		
	2		1067		321		171		184		139		0		0		
	3		1068		323		174		184		174		0		0		
	4		1068		327		176		184		166		0		0		
	5		1068		325		176		184		179		0		0		
	6		1068		326		170		185		223		0		0		
	7		1067		324		167		185		248		0		0		
	8		1067		326		165		180		273		474		0		
	9		1067		327		156		180		274		1675		0		
	10		1066		327		161		179		390		2407		0		
	11		1066		330		169		179		390		2916		0		
	12		1064		343		171		183		421		3221		5		
	13		1051		346		172		179		430		3503		40		
	14		1050		337		173		180		360		3536		41		
	15		1049		329		174		181		298		3091		71		
	16		1048		331		174		180		230		2215		90		
	17		1049		331		174		185		155		636		10		
	18		1050		332		177		243		131		0		0		
	19		1052		331		177		242		157		0		0		
	20		1052		329		177		194		297		0		0		
	21		1053		329		179		190		336		0		0		
	22		1052		328		179		189		290		0		0		
	23		1052		327		179		189		293		0		0		
	24		1060		324		180		184		301		0		0		
