10/23/12			Hourly Breakdown of Renewable Resources										
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR			
	1		915		346		175		224		1311		0
	2		914		347		171		222		1489		0
	3		914		347		170		221		1619		0
	4		915		347		184		224		1347		0
	5		915		350		185		222		1235		0
	6		914		344		175		221		1554		0
	7		913		341		175		221		1364		0
	8		912		338		173		237		1383		57
	9		911		316		173		251		1426		303
	10		908		315		172		267		1368		689
	11		908		318		171		263		1595		815
	12		907		318		173		255		1638		855
	13		907		316		175		258		1627		865
	14		907		318		176		257		1666		781
	15		907		320		175		256		1606		746
	16		907		322		175		265		1659		597
	17		909		326		177		260		1765		428
	18		910		324		178		257		1725		99
	19		910		323		182		241		1647		0
	20		909		321		180		241		1561		0
	21		910		322		180		241		1584		0
	22		910		320		180		250		1423		0
	23		913		334		179		217		1445		0
	24		914		345		179		224		1484		0
													
													
			Hourly Breakdown of Total Production by Resource Type										
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO			
	1		2972		2252		9374		6764		887		
	2		3142		2252		8543		6804		803		
	3		3270		2253		8005		6731		753		
	4		3017		2253		8125		6585		797		
	5		2907		2254		9132		6091		841		
	6		3210		2254		9318		6858		878		
	7		3014		2254		10570		7886		1229		
	8		3099		2254		11676		7838		1314		
	9		3380		2254		12079		7574		1303		
	10		3720		2253		12017		7683		1338		
	11		4069		2254		11732		8227		1217		
	12		4145		2250		11906		8100		1186		
	13		4148		2250		12080		7652		1373		
	14		4105		2250		11871		7646		1628		
	15		4009		2250		11712		7620		1701		
	16		3926		2250		11576		7570		1776		
	17		3864		2251		11924		7332		1667		
	18		3494		2252		12537		7025		1821		
	19		3303		2251		12645		8606		2246		
	20		3213		2251		13647		8445		2146		
	21		3236		2250		13407		8107		2016		
	22		3083		2249		12835		8072		1369		
	23		3089		2251		11711		7035		1159		
	24		3146		2250		10185		6520		1175		
