11/27/12			Hourly Breakdown of Renewable Resources												
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL				
	1		921		353		208		206		32		0		0
	2		923		354		209		162		44		0		0
	3		923		358		210		160		47		0		0
	4		923		363		210		160		47		0		0
	5		923		362		203		159		92		0		0
	6		922		348		197		198		149		0		0
	7		921		351		192		213		157		11		0
	8		922		349		191		259		77		148		0
	9		919		352		190		266		36		362		0
	10		917		353		191		272		40		518		0
	11		917		356		186		271		59		603		0
	12		917		355		187		249		64		601		0
	13		916		354		186		250		79		582		0
	14		916		349		187		242		62		423		0
	15		916		354		196		223		41		333		0
	16		916		367		203		222		54		132		0
	17		917		361		203		256		44		7		0
	18		917		352		205		313		45		0		0
	19		917		357		195		315		55		0		0
	20		920		362		193		315		33		0		0
	21		920		363		193		312		57		0		0
	22		922		366		193		264		70		0		0
	23		921		361		193		243		92		0		0
	24		921		360		194		218		191		0		0
															
															
			Hourly Breakdown of Total Production by Resource Type												
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO					
	1		1713		2250		10416		5907		1219				
	2		1684		2250		9696		5732		1248				
	3		1688		2250		9774		5377		1219				
	4		1699		2249		9722		5324		1233				
	5		1734		2250		10274		5263		1286				
	6		1808		2250		11054		5747		1408				
	7		1845		2251		12147		6694		1986				
	8		1945		2251		13679		6625		1977				
	9		2119		2251		13818		6939		1861				
	10		2285		2251		13751		7048		1876				
	11		2387		2250		13543		7402		1874				
	12		2368		2249		13543		7501		1851				
	13		2363		2248		13453		7597		1895				
	14		2176		2246		14103		7291		1862				
	15		2060		2244		14144		7237		1849				
	16		1883		2244		13945		7475		1784				
	17		1772		2245		13801		8109		2250				
	18		1817		2247		16240		7926		2673				
	19		1829		2247		16816		7591		2566				
	20		1816		2248		16228		7752		2425				
	21		1834		2249		15301		7984		2125				
	22		1805		2249		13891		7851		2005				
	23		1804		2250		12615		7059		1714				
	24		1877		2250		11115		6498		1508				
